acs_id,tract_name,tract_code,acs_tract,boro_code,boro,acs_county,boro_tract_code,CDEligibil,NTACode,PUMA,Shape_Leng,Shape_Area,acs_tract_code,acs_total_pop_est,acs_pct_poc,acs_pct_one_race_est,acs_pct_white_est,acs_pct_black_est,acs_pct_native&alaskan_est,acs_pct_asain_est,acs_pct_hawaiian&pi_est,acs_pct_others_est,acs_pct_two_or_more_races_est,acs_pct_hisp_lat_est,acs_pct_non-hisp_lat_white_est,acs_pct_below_100_pct_below_poverty_level_est,acs_pct_100-149_pct_above_poverty_level_est,acs_pct_150+_pct_above_poverty_level_est,acs_pct_native_born_est,acs_pct_foreign_born_est,tract_arrest_counts
1400000US36047043000,Woodlawn-Wakefield,043000,430,2,Bronx,Kings County,2043000,I,BX62,3702,5850.896794,2219376.164,43000,3283,55.9,98.2,50,0,0,42.9,0,5.2,1.8,11.1,44.1,27.2,16.5,56.3,25.25,1.95,1
1400000US36081043400,Woodlawn-Wakefield,043400,434,2,Bronx,Queens County,2043400,E,BX62,3702,10436.35101,3761012.916,43400,1795,96.3,98.4,4.7,82.4,0,0,0.7,10.7,1.6,8.8,3.7,3.6,7.1,89.3,57.94,0,0
1400000US36047043600,Woodlawn-Wakefield,043600,436,2,Bronx,Kings County,2043600,E,BX62,3702,5633.954983,1679294.22,43600,5059,49.8,93.2,59.4,1.2,1,25.1,0,6.5,6.8,15.7,50.2,19,6.8,74.2,40.3,3.12,0
1400000US36081001000,Woodhaven,001000,10,4,Queens,Queens County,4001000,E,QN53,4111,5286.510472,1743090.012,1000,4618,87.9,97.6,44.9,3.6,0,19,0,30.1,2.4,66.9,12.1,12.1,5.8,82.1,39.71,3.92,0
1400000US36081001600,Woodhaven,001600,16,4,Queens,Queens County,4001600,E,QN53,4111,5985.307114,1623632.685,1600,2420,89.6,86.9,29.7,6.2,0,21.2,0,29.8,13.1,56,10.4,5,10.3,84.8,45.66,6.57,0
1400000US36081002800,Richmond Hill,002800,28,4,Queens,Queens County,4002800,E,QN54,4111,6400.430919,2386683.268,2800,3573,86.2,94.4,35,5.6,1.4,22.2,0,30.3,5.6,52.6,13.8,14.2,12.2,73.5,43.18,5.23,0
1400000US36081003100,Queensbridge-Ravenswood-Long Island City,003100,31,4,Queens,Queens County,4003100,I,QN68,4101,6683.010628,1775765.133,3100,1144,69.8,99,43.1,3.4,0,16.6,1.3,34.5,1,48.9,30.2,13.5,9,77.5,58.13,1.75,0
1400000US36081003900,Queensbridge-Ravenswood-Long Island City,003900,39,4,Queens,Queens County,4003900,I,QN68,4101,7160.549838,1580667.032,3900,1439,68.2,91,53.1,6.5,0.8,9.7,0,20.9,9,51.4,31.8,16.2,24.9,58.9,58.23,4.93,0
1400000US36081005100,Queensbridge-Ravenswood-Long Island City,005100,51,4,Queens,Queens County,4005100,E,QN68,4101,5387.367052,1476104.593,5100,1866,72.8,98.8,34.6,3.2,1,54.4,0.4,5.2,1.2,13.2,27.2,18.8,21.2,60,34.94,2.73,0
1400000US36081006502,Astoria,006502,65.02,4,Queens,Queens County,4006502,E,QN70,4101,5907.491012,1650722.214,6502,3494,41,98.9,72.7,3.4,0,9.3,0,13.4,1.1,26.8,59,12.8,13.7,73.5,58.84,4.52,1
1400000US36081009400,South Ozone Park,009400,94,4,Queens,Queens County,4009400,E,QN55,4113,7131.93122,1869642.017,9400,2769,91.1,96.9,17,9.8,0.8,49.4,0,19.9,3.1,27.7,8.9,13.1,12.3,74.6,36.87,4.48,0
1400000US36081010200,South Ozone Park,010200,102,4,Queens,Queens County,4010200,E,QN55,4113,7032.656099,2302072.675,10200,2817,92.7,90.5,13.1,13.7,0.2,44.7,0,18.7,9.5,21.8,7.3,15.8,7.5,76.7,38.87,1.06,0
1400000US36081010400,South Ozone Park,010400,104,4,Queens,Queens County,4010400,E,QN55,4113,6736.550089,2007367.496,10400,3014,93.7,89.2,9.9,24.6,0,24.8,0,29.9,10.8,12.5,6.3,7.4,5.8,86.9,36.1,0.7,0
1400000US36081010600,South Ozone Park,010600,106,4,Queens,Queens County,4010600,E,QN55,4113,8845.978321,1862499.44,10600,3733,97.6,91.6,8.1,12.2,0,49.2,0,22,8.4,11.3,2.4,16.4,10.2,73.4,27.56,3.4,0
